Unmapped Part Numbers Report
Generated on: 2025-05-02 14:35:37

Total Parts: 3746
Mapped Parts: 2785
Unmapped Parts: 961

Unique Unmapped Part Numbers:
============================================================================================================================================
Part Number	Description	Job Number	Operation	Op Description	Quantity
LSO01040-02	10MM Y GALVO MIRROR, 1030NM DIELECTRIC COATED BERYLLIUM	516123	10	CMPv2 Galvo Systems	3
LSO01070-02	14MM LH-Y GALVO MIRROR, 1030NM DIELECTRIC COATED BERYLLIUM	516130	10	CMPv2 Galvo Systems	2
LSO01044-03	14MM Y GALVO MIRROR, 515NM DIELECTRIC COATED BERYLLIUM	516125	10	CMPv2 Galvo Systems	3
LSO01048-03	20MM Y GALVO MIRROR, 515NM DIELECTRIC COATED BERYLLIUM	516121	10	CMPv2 Galvo Systems	4
LSO01070-17	14MM LH-Y GALVO MIRROR, 257NM DIELECTRIC COATED BERYLLIUM	516137	10	CMPv2 Galvo Systems	1
MFB18021-03	BASE, ANT180L-260 GEN II, BLACK ANODIZE	486292	90	CMPv2 Laser Mark IFOV	1
MFB18021-04	BASE, ANT180L-360 GEN II, BLACK ANODIZE	510004	30	CMPv2 Laser Mark IFOV	1
MFR00130	TABLETOP, ANT95-R, BLACK HARDCOAT	501588	20	CMPv2 Laser Mark IFOV	12
MFB18021-04	BASE, ANT180L-360 GEN II, BLACK ANODIZE	510007	10	CMPv2 Laser Mark IFOV	3
MFB32502-04	BASE LASERMARK, ANT130L-160	509378	60	CMPv2 Laser Mark IFOV	1
MFB32914-01	Carriage Counterbalance Bracket, Black Anodize w/ LaserMark, ANT95LZS-100 (Gen-II)	496324	40	CMPv2 Laser Mark IFOV	1
AMF00720-07	Metrology Laser Stage Z- Base	509925	50	CMPv2 Laser Mark IFOV	5
MFB02674-01	CARRIAGE, PRO165LM, BLACK HARDCOAT	494994	60	CMPv2 Laser Mark IFOV	1
MCA05834-01	Cover, SS, MPS75SL, Black Paint	513770	10	CMPv2 Laser Mark IFOV	14
MFB18001-03	Obsolete, Use MFB18021-XX (BASE, ANT180-260-L, BLACK ANODIZE)	512966	40	CMPv2 Laser Mark IFOV	2
AerotechPart	69945K418 Lasermarking	517085	10	CMPv2 Laser Mark IFOV	2
MFB18001-03	Obsolete, Use MFB18021-XX (BASE, ANT180-260-L, BLACK ANODIZE)	502280	40	CMPv2 Laser Mark IFOV	1
MFB18001-03	Obsolete, Use MFB18021-XX (BASE, ANT180-260-L, BLACK ANODIZE)	502291	10	CMPv2 Laser Mark IFOV	5
MFR01572	ENCODER COVER, ARMS260	478301	50	CMPv2 Laser Mark IFOV	1
MFR01572	ENCODER COVER, ARMS260	506514	10	CMPv2 Laser Mark IFOV	2
MFB32438	STANDARD ENDCAP, LASERTURN2	492052	40	CMPv2 Laser Mark IFOV	1
AerotechPart	MFG Fixture LSRmark	491638	10	CMPv2 Laser Mark IFOV	1
MFB32817	Connector Plate, Fluid Fittings, AGV5D	494796	90	CMPv2 Laser Mark IFOV	1
EFO01046-ES18998	STAGE CABLE, MPS SERIES, DC MOTOR, LENGTH 15DM	516060	20	CMPv2 Stage Wiring	10
EFO01046-ES20058	STAGE CABLE, MPS SERIES, DC MOTOR, LENGTH = 5dm	515086	20	CMPv2 Stage Wiring	3
EFO01046-ES18998	STAGE CABLE, MPS SERIES, DC MOTOR, LENGTH 15DM	516058	20	CMPv2 Stage Wiring	10
CE196842-20	CABLE: BL FB-25D-18LEMO-HF65-20DM	498135	10	CMPv2 Stage Wiring	2
CE196841-20	CABLE: BL MTR-FLB-4LEMO-HF82-20DM	498136	10	CMPv2 Stage Wiring	2
MFB32942-01	Cylinder Arm, Black Anodize w/ LaserMark, ANT95LZ-050 (Gen-II)	512728	50	CMPv2 Laser Mark IFOV	2
MFB32886-ES20094	Base, Black Anodize w/ LaserMark, ANT95L-075 (Gen-II), Custom Mounting	510821	50	CMPv2 Laser Mark IFOV	2
